Nr;Text_vorher;UNG.NOM;Text_danach;Dateiname;Textsorte;Periode;Sprachraum;Jahr;Jahrzehnt;Titelstichwort;Erstglied;Lemma;Adj;mit_adj_Mod;Det;als_praep_Kompl;Praeposition;Material_zwischen_Prep_und_Nom;NOM_V;FVG;Genitiv;Zweitglied;Numerus;Simplexbasis;Fremdwortbasis;ig;Hapax_Legomenon;Anmerkungen;Majuskel;ierung;Kompositum;Praefix;Anzahl_Praefixe;Praefix_Kombi;Basisverb;Basisverb_alternativ;PREP_DET_NOM;Syntagma
424; ‚Äì ja hoert nur, was ich euch von einer solchen ;Nixenerscheinung; erzaehlen will. Einst gieng ein junger Rittersman;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;Nixen;Erscheinung;solche;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;er;NA;NA;erscheinen;NA;NEIN;NEIN
425;fliehe mich nicht mehr ‚Äì kehre mit mir in meine ;Wohnung; zurueck. Albrecht. Aber wo finde ich die Wohnung ;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Wohnung;NA;NEIN;s;NEIN;in;NA;NA;NA;prenom;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;wohnen;NA;NEIN;NEIN
426; Wohnung zurueck. Albrecht. Aber wo finde ich die ;Wohnung; meiner Wohlthaeterinn? Hulda. Unter den Fluthen d;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Wohnung;NA;NEIN;b;NEIN;NA;NA;NA;NA;postnom;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;wohnen;NA;NEIN;NEIN
427; habt also schon euer Jawort von euch gegeben zur ;Vermaehlung; eurer Tochter? Hartwig. Alles ist schon abgethan ;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Verm‰hlung;NA;NEIN;b;NEIN;zu;NA;NA;NA;postnom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vermaehlen;NA;NEIN;NEIN
430;, sagte ich, als waeren sie uns zum Trost und zur ;Erquickung; erschaffen worden die lieben Geschoepfe. Sind ihr;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Erquickung;NA;NEIN;b;NEIN;zu;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;er;NA;NA;erquicken;NA;NEIN;NEIN
431;elhaft ‚Äì Hulda. Dein Vater hat auf morgen deine ;Vermaehlung; festgesetzt mit Albrecht von Waldsee? Bertha. Ja!;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Verm‰hlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vermaehlen;NA;NEIN;NEIN
432;von Waldsee? Bertha. Ja! Hulda. Morgen kann deine ;Vermaehlung; noch nicht sein. Bertha. Und warum? Hulda. Da√ü i;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Verm‰hlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vermaehlen;NA;NEIN;NEIN
433;h seyd. Albrecht von Waldsee wird noch vor seiner ;Verlobung; eine wichtige Reise unternehmen. Bertha. Was hoer;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Verlobung;NA;NEIN;s;NEIN;vor;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verloben;NA;NEIN;NEIN
434;egenheit ist der Probierstein deines Glueckes ‚Äì ;Verletzung; deines Schwures der Anfang meiner Rache fuer dich;DRAM_P3_OOD_1798_DonauweibchenRAW.txt;DRAM;P3;OOD;1798;1795;DonauweibchenRAW.txt;NA;Verletzung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;postnom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verletzen;NA;NEIN;NEIN
435; beten wie ein Rosenkranz. Er ist in eine Art von ;Zerknirschung; gefallen, von der ich ihn leicht curiren wollt.  ;DRAM_P3_WMD_1773_GoetzRAW.txt;DRAM;P3;WMD;1773;1775;GoetzRAW.txt;NA;Zerknirschung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;JA;NA;JA;NO;NA;zer;NA;NA;zerknirschen;NA;NEIN;NEIN
437;ls wue√üt ich nichts, verstuend nichts von seiner ;Auffuehrung;, und setzt ihn dadurch in Desavantage die ganze H;DRAM_P3_WMD_1773_GoetzRAW.txt;DRAM;P3;WMD;1773;1775;GoetzRAW.txt;NA;Auff¸hrung;NA;NEIN;s;NEIN;von;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;auf;NA;NA;auffuehren;NA;NEIN;NEIN
438;s geben soll.       Selbitz.       Ich wohl. Eure ;Versoehnung; war ein wenig zu schnell, als da√ü sie dauerhaft ;DRAM_P3_WMD_1773_GoetzRAW.txt;DRAM;P3;WMD;1773;1775;GoetzRAW.txt;NA;Versˆhnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;versoehnen;NA;NEIN;NEIN
439; Mir zu entsagen? Waren denn nicht hundert andere ;Bedingungen; los zu kommen? Haben wir nicht seinen Buben? Haet;DRAM_P3_WMD_1773_GoetzRAW.txt;DRAM;P3;WMD;1773;1775;GoetzRAW.txt;NA;Bedingung;andere;JA;s;NEIN;NA;NA;NA;NA;KEIN;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;bedingen;NA;NEIN;NEIN
440;t, spielt eine armselige Rolle. Ihr laeugnet eure ;Handlungen; nicht, und redet das Gegentheil, was soll man von;DRAM_P3_WMD_1773_GoetzRAW.txt;DRAM;P3;WMD;1773;1775;GoetzRAW.txt;NA;Handlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;PL;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
441;m Augenblick Pflicht zu leisten, da er durch eure ;Gefangennehmung; in die Strafe der Acht verfaellt. Pflicht zu leis;DRAM_P3_WMD_1773_GoetzRAW.txt;DRAM;P3;WMD;1773;1775;GoetzRAW.txt;NA;Gefangennehmung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;gefangennehmen;NA;NEIN;NEIN
442;                                       ÔªøFuenfte ;Handlung;.       In des Hausvaters Wohnung.       Erster Au;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Handlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
443;     ÔªøFuenfte Handlung.       In des Hausvaters ;Wohnung;.       Erster Auftritt.       Der Hausvater sitzt;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Wohnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;wohnen;NA;NEIN;NEIN
444;vater. Beinahe haetten sie mich vorher aus meiner ;Fassung; gebracht.       Dromer. Sind sie itzt ruhig?     ;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Fassung;NA;NEIN;s;NEIN;aus;NA;NA;NA;prenom;NA;SG;JA;NEIN;NEIN;NEIN;FVG;JA;NO;NA;NA;NA;NA;fassen;NA;NEIN;NEIN
445;n: eine Tochter veruneinigt mit ihrem Gatten, der ;Trennung;" nahe; einen Sohn im aeu√üersten Labirinth, in den";DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Trennung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;trennen;NA;NEIN;JA
446;er danken, wenn es nicht so ist: aber durch eitle ;Hofnung; raeumt man das gegenwaertige Uebel so wenig aus d;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Hoffnung;eitel;JA;KEIN;NEIN;durch;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
447;r Adjutant, ich danke dem Herrn Oberst fuer seine ;Gesinnung;"; ich habe seine Schulden uebernommen, aber die ge";DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Gesinnung;NA;NEIN;s;NEIN;f¸r;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;JA;ge;NA;NA;gesinnen;NA;NEIN;JA
448; Sein Fehler ist bekannt, also mu√ü es auch seine ;Bestrafung; seyn. Mit der Majorsstelle hat es ohne dem einige;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Bestrafung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;bestrafen;NA;NEIN;NEIN
449; und Unbesonnenheit: bei Karln Empfindsamkeit und ;Verirrung;. Ich wollte Karl waere hier.       Dromer. Ich wi;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Verirrung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verirren;NA;NEIN;NEIN
450;und oede, erschoepft vom unseligen Kampf zwischen ;Neigung; und Pflicht. Entschlossen zwar, aber in diesem En;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Neigung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;YES;NA;NA;NA;NA;neigen;NA;NEIN;NEIN
451; Hausvater. Und durch dich dazu geworden. In eine ;Haushaltung;, wo haeusliches Glueck selbst seinen Sitz genomme;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Haushaltung;NA;NEIN;u;NEIN;in;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;haushalten;NA;NEIN;NEIN
452;un mu√ü. Ehe ich noch alles wu√üte, ehe ich deine ;Verbindungen;, deine Schwuere wu√üte, sah ich die Sache fuer ei;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Verbindung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verbinden;NA;NEIN;NEIN
453;"s ich; wohl kennend das gewoehnliche Ende solcher ";Verbindungen;. Aber was vermochte er sonst zu thun, als einzuwi;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Verbindung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verbinden;NA;NEIN;NEIN
454;nd sagt ihm noch etwas leise.)       Monheim. Die ;Bedingungen; wegen des Unterhalts bleiben wie ich vorgeschlage;DRAM_P3_WMD_1780_HausvaterRAW.txt;DRAM;P3;WMD;1780;1785;HausvaterRAW.txt;NA;Bedingung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;bedingen;NA;NEIN;NEIN
456;      Ruhb S. (der sich gleich Anfangs in stummer ;Verzweiflung; gesetzt hat, beschaeftiget sich, ohne darauf zu a;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Verzweiflung;stumm;JA;KEIN;NEIN;in;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verzweifeln;NA;NEIN;NEIN
457;Liebesbriefe? -- (er nimmt sie) O weh! von boeser ;Gattung;"; 1000, 200, -- 456, mon ami -- Sie stecken tief? ";DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Gattung;bˆse;JA;KEIN;NEIN;von;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;gatten;NA;NEIN;NEIN
458;eht) Die verdammte Sieben. Ich hatte so gar keine ;Ahndung; davon!         Baron. (Ihn beym Arme schuettelnd,;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Ahndung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;ahnden;ahnen;NEIN;NEIN
459;den sie doch.         Ruhberg. Sie wissen von der ;Forderung; der Gebauerischen Erben an mich?         Baron. D;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Forderung;NA;NEIN;b;NEIN;von;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;JA;NA;NA;NA;fordern;NA;NEIN;JA
460;hen es faengt an hei√ü zu werden -- im Nahmen der ;Verzweiflung;! Thun sie Wunder. Gott mit ihnen.         Baron. ;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Verzweiflung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verzweifeln;NA;NEIN;NEIN
461;r von Dammdorf in einem gro√ümuethigen Raptus, zu ;Milderung; der Summe zu persuadiren waere -- Eine Art Gesche;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Milderung;NA;NEIN;KEIN;JA;zu;KEIN;NA;NA;postnom;NA;SG;JA;NEIN;NEIN;JA;NA;JA;NO;NA;NA;NA;NA;mildern;NA;NEIN;NEIN
462;      Baron. Ich habs -- das geht. Eine hoefliche ;Vorstellung; -- begleitet von einen Wechsel, worinne sie sich ;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Vorstellung;hˆflich;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;vor;NA;NA;vorstellen;NA;NEIN;NEIN
463;-- Sie hoften, er wuerde nicht so stricte auf der ;Zahlung; bestehen, da ohnehin ein Kavalier das Ehrenwort e;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Zahlung;NA;NEIN;b;NEIN;auf;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;zahlen;NA;NEIN;NEIN
464;zu Muthe, ich bin -- in einer recht moerderlichen ;Stimmung;.         Sechster Auftritt.         Salomon, Vori;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Stimmung;mˆrderlich;JA;u;NEIN;in;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;stimmen;NA;NEIN;JA
465;  Ruhb. Was will er?         Haush. Eine geneigte ;Empfehlung; von meinem gnaedigen Herrn -- dem Herrn Baron von;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Empfehlung;geneigt;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;JA;NA;JA;NO;NA;emp;NA;NA;empfehlen;NA;NEIN;NEIN
466;nn ich diese Leute bezahlen koennte -- haette ich ;Hofnung; bey dem Fraeulein?         Baron. (befremdet und ;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Hoffnung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
467; Hause --         Haushofm. Ja und dann wegen der ;Quittirung;.         Ruhb. Ich will keine -- fort!         Ha;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Quittierung;NA;NEIN;b;NEIN;wegen;NA;NA;NA;KEIN;NA;SG;NA;JA;NEIN;JA;NA;JA;NO;NA;NA;NA;NA;quittieren;NA;NEIN;NEIN
469;ge zurueck, und befriedigen sie die schreyendsten ;Forderungen; -- und vor allen -- eilen sie -- fliegen sie zu d;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Forderung;schreiend;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;PL;JA;NEIN;NEIN;NEIN;NA;JA;NO;JA;NA;NA;NA;fordern;NA;NEIN;JA
470;Kleinigkeiten nicht erwaehnen, welche sie mir als ;Freundschaftsbezeugungen; oft so hoch anrechneten, nicht da√ü ich ihnen ein;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;Freundschafts;Bezeugung;NA;NEIN;KEIN;NEIN;als;NA;NA;NA;KEIN;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;bezeugen;NA;NEIN;NEIN
471;aegt zum Herzen -- meine Haende sind kalt -- alle ;Besinnung; verlae√üt mich -- das ist das Zagen des gemeinen ;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Besinnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;besinnen;NA;NEIN;NEIN
472;-Casse angegriffen‚Äû wird die Menge sagen. Neid, ;Verfolgung;, Falschheit, Wuth und Gesetze, werden gegen mich ;DRAM_P3_WMD_1787_VerbrechenRAW.txt;DRAM;P3;WMD;1787;1785;VerbrechenRAW.txt;NA;Verfolgung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verfolgen;NA;NEIN;NEIN
474;" es scheint, die G&#156;tter wollen uns eine gute ";Vorbedeutung; geben.  CHLOE. Du bist ein frommer Mann, drum bis;DRAM_P3_WOD_1762_EvanderRAW.txt;DRAM;P3;WOD;1762;1765;EvanderRAW.txt;NA;Vorbedeutung;gut;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;vor;NA;vorbe;vorbedeuten;NA;NEIN;NEIN
475; wie sonst Maenner sind, von viel mehr Jahren und ;Erfahrung;". Kyhnheit hat er, wie Hercules; er wyrde mit L&#1";DRAM_P3_WOD_1762_EvanderRAW.txt;DRAM;P3;WOD;1762;1765;EvanderRAW.txt;NA;Erfahrung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;er;NA;NA;erfahren;NA;NEIN;NEIN
476;r ybertrift ihn im Ringen, im Wett-Lauf, in jeder ;Ybung;, die Staerke und Schnelligkeit fodert? Seine Lied;DRAM_P3_WOD_1762_EvanderRAW.txt;DRAM;P3;WOD;1762;1765;EvanderRAW.txt;NA;‹bung;NA;NEIN;s;NEIN;in;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;ueben;NA;NEIN;NEIN
477;" Gott der Ehen sie verbinde; wir myssen noch ihre ";Hofnungen; entfernen.  CHLOE. Gewi√ü! du hast recht, Lamon! ;DRAM_P3_WOD_1762_EvanderRAW.txt;DRAM;P3;WOD;1762;1765;EvanderRAW.txt;NA;Hoffnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;PL;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
481; Sonne stralt,  Und dann, erwacht, die Biene  Zur ;Oefnung;" eilt; Wie sie des Fryhlings Wonne  Entzyket sieht";DRAM_P3_WOD_1762_EvanderRAW.txt;DRAM;P3;WOD;1762;1765;EvanderRAW.txt;NA;÷ffnung;NA;NEIN;b;NEIN;zu;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;oeffnen;NA;NEIN;NEIN
483; sehr wahr - und sollten Sie schon diese traurige ;Erfahrung; gemacht haben? Sie koennen nicht drey und zwanzig;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Erfahrung;traurig;JA;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;er;NA;NA;erfahren;NA;NEIN;NEIN
484;du - Feuerflammen aus deinem Auge - Fluch, Fluch, ;Verwerfung;! - wo bin ich? Nacht vor meinen Augen - Schreckni;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Verwerfung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;YES;NA;ver;NA;NA;verwerfen;NA;NEIN;NEIN
485;ahrend. - schadenfrohe Hoelle! jagst du mir diese ;Ahndung; ein? Es ist Karl! ja! izt werden mir alle Zuege w;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Ahndung;NA;NEIN;DEM;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;ahnden;ahnen;NEIN;NEIN
486;de an den Bettelstab gebracht, und die unendliche ;Erbarmung; bankerot werden, wenn sie fuer meine Schulden all;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Erbarmung;unendlich;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;er;NA;NA;erbarmen;NA;NEIN;NEIN
487;ein guetiger Herr gegen dich gewesen, ich hab dir ;Nahrung; und Kleider gegeben und dein schwaches Alter in a;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Nahrung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;naehren;nahren;NEIN;NEIN
488;ieh, wie langmuethig ich bin - ich biete dir eine ;Belohnung; fuer das, was du mir huldigtest. Daniel. Aber ich;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Belohnung;NA;NEIN;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;JA;be;NA;NA;belohnen;NA;NEIN;JA
489;wills thun, morgen will ichs thun. ab. Franz. Die ;Versuchung; ist stark, und der war wohl nicht zum Maertyrer s;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Versuchung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;versuchen;NA;NEIN;NEIN
490;die Geburt des Menschen das Werk einer viehischen ;Anwandlung;, eines Ungefaehrs, wer sollte wegen der Verneinun;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Anwandlung;viehisch;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;JA;NA;JA;NO;NA;an;NA;NA;anwandeln;NA;NEIN;NEIN
491;nwandlung, eines Ungefaehrs, wer sollte wegen der ;Verneinung; seiner Geburt sich einkommen lassen an ein bedeut;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Verneinung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;JA;NA;JA;NO;NA;ver;NA;NA;verneinen;NA;NEIN;NEIN
492; vom Lied - der morastige Zirkel der menschlichen ;Bestimmung;, und so mit - gluekliche Reise, Herr Bruder! Der ;DRAM_P3_WOD_1781_RaeuberRAW.txt;DRAM;P3;WOD;1781;1785;RaeuberRAW.txt;NA;Bestimmung;menschlich;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;bestimmen;NA;NEIN;NEIN
493; den Untergang droht und nur von Ihnen erwart ich ;Rettung;. Elfride. Ich kann Sie retten und diese Lage aus ;DRAM_P3_WOD_1783_ElfrideRAW.txt;DRAM;P3;WOD;1783;1785;ElfrideRAW.txt;NA;Rettung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;retten;NA;NEIN;NEIN
